family_id,package_id,claim_id,dataset_role,model_or_method,condition,target_ratio_percent,repeat_scheme,planned_trained_runs,execution_stage,result_role,reuses_family,selection_pool,calibration_pool,test_pool,required_output,status
T1-THERM,T1,C-THERMAL,paired_rgbt_branch,thermal_only,frozen_feature_generator,100,single_locked_seed,1,G2,branch_input_validity,none,D_b_sel,D_b_prob,D_b_te,predictions_calibration_and_metrics,not_run
S1-RULE,S1,C-METHANE,methane_future_risk,persistence_or_threshold_rule,all_sensor,100,deterministic,0,G2,safety_reference,none,D_b_sel,D_b_prob,D_b_te,predictions_and_metrics,not_run
S1-HGB,S1,C-METHANE,methane_future_risk,hist_gradient_boosting,all_sensor,100,deterministic_solver,1,G2,strong_non_neural_control,none,D_b_sel,D_b_prob,D_b_te,predictions_calibration_and_metrics,not_run
S1-GRU,S1,C-METHANE,methane_future_risk,gru,all_sensor,100,three_train_seeds,3,G2,confirmatory_primary,none,D_b_sel,D_b_prob,D_b_te,predictions_calibration_and_metrics,not_run
R1-GEN,R1,C-ROBUST,primary_visual_target,yolov8n,generic_matched,10,reuse_three_paired_checkpoints,0,G4,secondary_stress_control,V2-A-10-GEN,NA,NA,D_b_te,paired_corruption_predictions,not_run
R1-MULTI,R1,C-ROBUST,primary_visual_target,yolov8n,multi_coal,10,reuse_three_paired_checkpoints,0,G4,secondary_stress_method,V2-A-10-MULTI,NA,NA,D_b_te,paired_corruption_predictions,not_run
E1-BUILD,E1,C-FUSION,episode_benchmark,episode_builder,locked_templates,NA,three_episode_seeds,0,G5,eligibility_and_independence,none,NA,NA,NA,episode_manifests_and_audits,not_run
E2-MEAN,E2,C-FUSION,fusion_eligible_multibranch,mean,no_train,NA,three_episode_seeds,0,G5,simple_baseline,E1-BUILD,NA,D_e_pol,D_e_te,predictions_and_metrics,not_run
E2-LOGIT,E2,C-FUSION,fusion_eligible_multibranch,calibrated_logit,trainable,NA,three_episode_seeds,3,G5,strong_trainable_control,E1-BUILD,D_e_sel,D_e_pol,D_e_te,predictions_and_metrics,not_run
E3-SHUFFLE,E3,C-GRAPH,graph_eligible_observed_pair,pair_alignment_shuffle_inference,no_train,NA,three_episode_seeds,0,G5,conditional_sanity_control,E3-FULL,NA,NA,D_e_te,predictions_and_edge_trace,not_run
E3-NOREL,E3,C-FUSION,fusion_eligible_multibranch,no_reliability,trainable,NA,three_episode_seeds,3,G5,core_mechanism_ablation,E1-BUILD,D_e_sel,D_e_pol,D_e_te,predictions_and_metrics,not_run
E3-NOGRAPH,E3,C-GRAPH,graph_eligible_observed_pair,no_graph,trainable,NA,three_episode_seeds,3,G5,conditional_core_ablation,E1-BUILD,D_e_sel,D_e_pol,D_e_te,predictions_metrics_and_edge_trace,not_run
E3-NOMEM,E3,C-MEMORY,fusion_eligible_multibranch,no_memory,inference_policy_control,NA,three_episode_seeds,0,G5,core_mechanism_ablation,E3-FULL,NA,D_e_pol,D_e_te,predictions_state_trace_and_metrics,not_run
E3-FULL,E3,C-FUSION,fusion_eligible_multibranch,reliability_graph_memory_hysteresis,trainable,NA,three_episode_seeds,3,G5,confirmatory_primary,E1-BUILD,D_e_sel,D_e_pol,D_e_te,predictions_state_edge_trace_and_metrics,not_run
C1-EFF,C1,C-EFFICIENCY,eligible_representative_modules,module_efficiency,batch1,NA,representative_locked_seed,0,G6,secondary_measurement,V2-A-10-MULTI|T1-THERM|S1-GRU|E3-FULL,NA,NA,NA,scope_manifest_raw_timing_and_resource_summary,not_run
