step_id,phase,gate,depends_on,site,resource,command_entry,inputs,outputs,acceptance,failure_action,status
P030,PREFLIGHT,PREFLIGHT,P020|I090,remote_login,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli apply-remote-environment,validated remote setup|implemented CLI,evidence/preimplementation/remote_environment_ready.json,remote setup is verified without heavy login-node work,repair or relock remote environment,pass
E000,SPEC,G0,I090,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli validate-protocol --template,protocol template,evidence/gates/protocol_template_validation.json,YAML schema and endpoint definitions pass,repair protocol template,pass
E002,SPEC,G0,E000,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli validate-artifact-contract,artifact contract,evidence/gates/artifact_contract_validation.json,all schemas and constraints are internally consistent,repair artifact contract,pass
E004,SPEC,G0,E002,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli dry-run-matrix,experiment matrix|step DAG,evidence/gates/minimal_matrix_dry_run.json,25 families and at most 39 runs resolve; conditional fusion and graph families have deterministic PRETEST not_applicable branches,repair matrix or CLI,pass
E006,SPEC,G0,E004,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G0,G0 receipts,evidence/gates/G0.json,independent review marks specification executable,keep G0 open and repair findings,pass
E010,DATA,G1,E006,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli inventory-local-datasets --root G:\datasets,dataset search rule,evidence/data/local_dataset_inventory.parquet,bounded inventory records candidates hashes sizes and licenses,repair inventory or record absence,pass
E014,DATA,G1,E010|P030,remote_login,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli inventory-remote-datasets --bounded,remote environment|local inventory,evidence/data/remote_dataset_inventory.json,bounded SSH inventory creates no allocation and records usable copies,record blocked without broad scan,pass
E016,DATA,G1,E014,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli decide-dataset-sources,local and remote inventories,evidence/data/dataset_source_decision.json,each required role has one licensed source and transfer route,acquire only unresolved resources,pass
E018,DATA,G1,E016,local_or_remote,network_light,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli stage-datasets --decision evidence/data/dataset_source_decision.json,source decision|checksums,evidence/data/staging_receipts.json,archives are reused or transferred according to search order and checksums match,retry one bounded transfer or record blocked,pass
E020,DATA,G1,E018,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli build-minimal-sample --max-groups 2,staged archives,evidence/data/minimal_sample_manifest.parquet,only minimal samples are extracted locally and cover required modules,repair sample builder without full extraction,pass
E024,DATA,G1,E018,remote_compute,cpu_sbatch,sbatch slurm/verify_archives.sbatch,staged remote archives,evidence/data/remote_archive_verification.json,Slurm job verifies archives licenses and checksums,repair staging or archive,pass
E026,DATA,G1,E024,remote_compute,cpu_sbatch,sbatch slurm/build_file_manifest.sbatch,verified archives,data/locked/file_manifest.parquet,full remote manifest is complete without training,repair parser or archive,pass
E030,DATA,G1,E026,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli lock-ontology,data manifest|paper concepts,data/locked/ontology_lock.yaml,compatible labels exclusions and unknown policy are reviewed,revise ontology before splits,pass
E034,DATA,G1,E030,remote_compute,cpu_sbatch,sbatch slurm/audit_groups_dedup.sbatch,file manifest|ontology,data/locked/dedup_report.parquet,raw groups and exact or near duplicates are resolved before splitting,repair grouping or exclude ambiguous records,pass
E038,DATA,G1,E034,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli create-splits --grouped,data manifest|dedup report,data/locked/split_manifest.parquet,group-disjoint train calibration and test pools pass leakage audit,regenerate before any model fitting,pass
E042,DATA,G1,E038,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli create-fewshot --ratio 10 --pairs 3,split manifest,data/locked/fewshot_manifest.parquet,three paired 10 percent group subsets are frozen,repair stratification without viewing test outcomes,pass
E046,DATA,G1,E038,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli audit-rgbt-inputs,split manifest|candidate pairs,data/locked/rgbt_input_lock.json,visible and thermal branch inputs are valid and leakage free,drop unsupported T1 wording if invalid,pass
E050,DATA,G1,E038,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli lock-methane-roles,temporal records|event policy,data/locked/methane_role_lock.json,chronological train calibration test roles and horizons are frozen,repair temporal roles before fitting,pass
E054,DATA,G1,E030,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli audit-graph-eligibility,pair provenance|ontology,data/locked/graph_eligibility_lock.json,original pairing has two real modalities and sufficient independent groups,remove graph claim if eligibility fails,pass
E058,DATA,G1,E046|E050|E054,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli build-episode-skeletons,locked branch roles|event semantics|episode seeds,data/locked/episode_template_lock.json|data/locked/episode_skeleton_manifest.parquet|data/locked/fusion_eligibility_lock.parquet|data/seals/episode_test_skeleton_candidate.json,record assignments template instances seeds and event positions freeze without model outcomes; full D_e_te skeleton enters denied ACL storage; fusion concepts require two branch types and group floor; E300 receives only the sealed inference projection,repair skeletons eligibility or ACL before prediction,pass
E059,DATA,G1,E018|E038|E050,remote_compute,cpu_sbatch,sbatch slurm/materialize_s1_windows.sbatch,verified remote methane archive|canonical file manifest|split manifest|methane role lock|frozen window protocol,data/locked/methane_window_features.parquet|data/locked/branch_methane_test_features.parquet|data/locked/methane_non_test_truth.parquet|data/sealed/branch_methane_truth.parquet|data/locked/episode_methane_features.parquet|data/locked/episode_methane_truth.parquet|data/locked/methane_window_manifest.parquet|evidence/data/E059_methane_window_materialization.json|evidence/data/E059_independent_reconciliation.json,remote CPU job exits zero; all target sensors and eight frozen pools are present; windows are causal and unique; branch features and truth are nonempty aligned D_b_te partitions; feature and truth files remain physically separate; source and output hashes are recorded; deterministic rerun is hash-stable; only derived artifacts and receipts are synchronized; independent review passes; no model fitting threshold selection or test metric occurs,repair only adapter window construction or resource fields under frozen roles and event policy; otherwise keep E060 failed and downgrade C-METHANE before G1,pass
E060,DATA,G1,E038|E042|E046|E050|E059,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli create-branch-test-seal --candidate,all branch split locks|materialized methane branch partitions,data/seals/branch_test_seal_candidate.json,test labels are sealed and predictors have no read ACL,repair ACL or seal generation,pass
E062,SMOKE,G1,E020|I090,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli smoke-local --minimal,evidence/data/minimal_sample_manifest.parquet,evidence/smoke/local_smoke.json,all modules complete on minimal local samples,repair code before remote use,pass
E064,SMOKE,G1,E024|E062|P030,remote_compute,gpu_sbatch,sbatch slurm/smoke_minimal.sbatch,remote environment|minimal sample,evidence/smoke/remote_smoke.json,one short Slurm job completes and artifacts synchronize,repair environment or job script,pass
E066,PILOT,G1,E064,remote_compute,gpu_sbatch,sbatch slurm/pilot_resource.sbatch,representative train and inference configs,evidence/pilot/resource_pilot.json,only memory throughput wall-time numerical-finiteness and deterministic-repeat evidence may set precision micro-batch accumulation workers concurrency and time limits; no condition ranking or model hyperparameter search,adjust resource fields only within preregistered rule,pass
E067,LOCK,G1,E026|E030|E034|E038|E042|E046|E050|E054|E058|E060|E066,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli fill-pretest-lock,all G1 locks|non-test group structure|candidate branch seal|episode test skeleton candidate|pilot receipt|placeholder ownership map,configs/protocol_lock.pretest.yaml|evidence/g1/precision_feasibility.json,no TBD token remains; minimum meaningful effects freeze before a one-pass conservative precision simulation; failed precision only reduces claims; every filled value cites its producer; candidate hashes endpoints budgets stopping rules source roles and hashes are frozen,repair lock or downgrade underpowered claims before sealing,pass
E068,LOCK,G1,E060|E067,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli finalize-branch-test-seal --protocol configs/protocol_lock.pretest.yaml,candidate seal|pretest lock,data/seals/branch_test_seal.json,final seal hash and protocol hash are mutually recorded,repair seal and invalidate candidate,pass
E069,LOCK,G1,E068,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G1,all G1 receipts,evidence/gates/G1.json,independent review confirms data provenance leakage control and pretest lock,keep G1 open and repair findings,pass
E100,BRANCH,G2,E069,remote_compute,gpu_sbatch,sbatch slurm/train_t1_array.sbatch,T1 locks|protocol,runs/T1/,visible and thermal locked-seed checkpoints complete with provenance,retry only under frozen failure rule,pass
E111,BRANCH,G2,E100,remote_compute,gpu_sbatch,sbatch slurm/predict_t1_sealed.sbatch,T1 checkpoints|branch seal,predictions/locked/T1/detections.parquet|predictions/locked/T1/concepts.parquet|evidence/fallback/E111_not_applicable_amendment_v4.json|evidence/step_reviews/E111.json,amendment v4 accepts T1 calibrated branch-test prediction as not_applicable because the locked non-test calibration pool is single-class; E100 remains training/input-validity boundary evidence only; no test labels opened,do not retry unchanged; preserve E111 failures and keep C-THERMAL calibration/test metrics unsupported,not_applicable
E120,BRANCH,G2,E069,remote_compute,cpu_sbatch,sbatch slurm/fit_s1_baselines.sbatch,materialized methane window store|methane roles|protocol,runs/S1/baselines/,persistence rule and HGB validation selection are frozen,retry only under frozen failure rule,pass
E122,BRANCH,G2,E120,remote_compute,gpu_sbatch,sbatch slurm/train_s1_gru_array.sbatch,methane roles|protocol,runs/S1/gru/,three GRU seeds complete with identical temporal roles,retry only under frozen failure rule,pass
E123,BRANCH,G2,E122,remote_compute,gpu_sbatch,sbatch slurm/predict_s1_sealed.sbatch,S1 models|branch seal,predictions/locked/S1.parquet,predictions contain no truth and prediction lock closes,repair prediction generation before release,pass
E200,TRANSFER,G3,E069,remote_compute,gpu_sbatch,sbatch slurm/train_v2_pretrain_array.sbatch,source pools|protocol,runs/V2/pretrain/,nine source-pretraining runs complete under matched budgets,retry only under frozen failure rule,pass
E202,TRANSFER,G3,E200,remote_compute,gpu_sbatch,sbatch slurm/train_v2_finetune_array.sbatch,pretraining checkpoints|10 percent subsets,runs/V2/finetune/,twelve target fine-tuning runs complete for paired seeds,retry only under frozen failure rule,pass
E204,TRANSFER,G3,E202,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli select-checkpoints --family V2,V2 validation metrics,runs/V2/checkpoint_selection.json,selection uses validation only and one rule for all conditions,repair selector before test prediction,pass
E205,TRANSFER,G3,E204,remote_compute,gpu_sbatch,sbatch slurm/predict_v2_sealed.sbatch,selected V2 checkpoints|branch seal,predictions/locked/V2/detections.parquet|predictions/locked/V2/concepts.parquet|evidence/fallback/E205_not_applicable_amendment_v4.json|evidence/step_reviews/E205.json,amendment v4 accepts V2 calibrated branch-test prediction as not_applicable because sealed calibration reproduces the single-class failure; E202/E204 remain training and validation-selection evidence only; no test labels opened,do not retry unchanged; preserve E205 failure and keep C-TRANSFER test-performance claims unsupported,not_applicable
E220,ROBUST,G4,E204,remote_compute,cpu_sbatch,sbatch slurm/build_corruptions.sbatch,clean sealed inputs|corruption lock,data/locked/corruption_manifest.parquet,two corruption types and three severities are deterministic and label independent,repair operator before prediction,pass
E221,ROBUST,G4,E220|E205,remote_compute,gpu_sbatch,sbatch slurm/predict_r1_sealed.sbatch,V2 checkpoints|corruption manifest|branch seal,evidence/fallback/E221_not_applicable_amendment_v4.json|evidence/step_reviews/E221.json,amendment v4 accepts R1 corrupted-visual prediction as not_applicable because robustness prediction requires unavailable V2 calibrators from E205 and the reviewed V2 multi-coal cells are not_applicable rather than selected checkpoints; E220 remains corruption-manifest evidence only,do not submit E221 without an approved replacement visual prediction contract,not_applicable
E206,RELEASE,G3,E111|E123|E205|E221,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli release-branch-test --packages S1,S1 prediction lock|branch seal|E111 E205 E221 not_applicable reviews,data/releases/branch_test_release.json,"amendment v4 branch release is scoped to S1 only; release binds the S1 prediction hash, branch seal, protocol, source and matrix hashes; T1 V2 and R1 stay explicitly not_applicable and are not evaluated",repair S1 release governance only; do not reinstate visual/R1 prediction obligations without a new approved amendment,pass
E112,EVALUATE,G2,E206,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli evaluate --package T1,released T1 predictions|test truth,evidence/fallback/E112_not_applicable_amendment_v4.json,amendment v4 keeps T1 test evaluation not_applicable because no approved T1 prediction lock exists; C-THERMAL remains training/input-validity boundary only,preserve unsupported T1 evaluation boundary,not_applicable
E124,EVALUATE,G2,E206,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli evaluate --package S1,released S1 predictions|test truth,results/S1/metrics.parquet,GRU and frozen non-neural comparison endpoints are complete,repair evaluator without refitting,pass
E129,EVALUATE,G2,E112|E124,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G2,T1 and S1 results,evidence/gates/G2.json,review confirms branch validity and methane evidence boundaries,keep G2 open and repair findings,pass
E207,EVALUATE,G3,E206,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli evaluate --package V2,released V2 predictions|test truth,evidence/fallback/E207_not_applicable_amendment_v4.json,amendment v4 keeps V2 branch-test evaluation not_applicable because no approved V2 prediction lock exists; transfer evidence is limited to training and validation-selection provenance,preserve unsupported V2 test-performance boundary,not_applicable
E209,EVALUATE,G3,E207,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G3,V2 results,evidence/gates/G3.json,review confirms matched budgets paired seeds and transfer claim scope,keep G3 open and repair findings,pass
E223,EVALUATE,G4,E206,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli evaluate --package R1,released R1 predictions|test truth,evidence/fallback/E223_not_applicable_amendment_v4.json,amendment v4 keeps R1 robustness evaluation not_applicable because no approved R1 prediction lock exists; E220 remains deterministic corruption-build evidence only,preserve unsupported R1 evaluation boundary,not_applicable
E229,EVALUATE,G4,E223,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G4,R1 results,evidence/gates/G4.json,review confirms robustness is secondary and not a universal claim,keep G4 open and repair findings,pass
E300,EPISODE,G5,E129|E209,remote_compute,gpu_sbatch,sbatch slurm/predict_episode_branches.sbatch,S1-only G2 closure or not_applicable visual gates|E058 truth-free skeleton inference projection|fusion eligibility lock,predictions/episode_branches/|evidence/episode/E300_not_applicable.json,"amendment v4 episode branch inference is not submitted unless a future approved plan provides calibrated visual branch predictions; current visual missingness blocks C-FUSION C-MEMORY C-GRAPH and permits only a gate-bound not_applicable receipt; if ever fusion eligible, every skeleton_item_id in all four pools receives exactly one locked branch prediction and no truth audit or template field is opened or written; under current v4 no-submit path orchestration does not submit Slurm and writes a gate-bound not_applicable receipt",write or repair the not_applicable receipt; do not fabricate visual branch inputs,not_applicable
E301,EPISODE,G5,E300,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli build-and-audit-episode-features,episode branch predictions or E300 not_applicable receipt|raw groups|episode templates,data/locked/episode_features/|data/seals/episode_test_seal_candidate.json|evidence/episode/independence_audit.json|evidence/episode/E301_not_applicable.json,when fusion eligible feature edge audit and label stores are physically separated and test labels enter denied-ACL candidate seal atomically; when fusion population is empty propagate the eligibility hash without building labels or features,regenerate episode pools and candidate seal or repair the invalid not_applicable chain,not_applicable
E302,EPISODE,G5,E301,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli seal-episode-test,episode label candidate seal or E301 not_applicable receipt|episode skeleton candidate seal|protocol|source and skeleton hashes,data/seals/episode_test_seal.json|evidence/episode/E302_not_applicable.json,when fusion eligible final episode seal binds both candidate seals and predictor ACL excludes full test skeleton audit fields and test truth; otherwise propagate a gate-bound not_applicable receipt without opening the hidden skeleton,repair ACL seal or invalid not_applicable chain,not_applicable
E303,EPISODE,G5,E302,remote_compute,gpu_sbatch,sbatch slurm/train_episode_array.sbatch,episode train calibration pools or E302 not_applicable receipt|fusion and graph eligibility locks|protocol,runs/E2_E3/|evidence/episode/E303_not_applicable.json,logit no-reliability and full complete for three seeds when fusion eligible; no-graph completes only when graph eligible; if fusion population is empty orchestration does not submit Slurm and all conditional families receive gate-bound not_applicable status,retry only under frozen failure rule or repair the invalid eligibility receipt,not_applicable
E305,EPISODE,G5,E303,remote_compute,gpu_sbatch,sbatch slurm/predict_episode_sealed.sbatch,trained models or E303 not_applicable receipt|episode seal|fusion and graph eligibility locks,predictions/locked/episodes.parquet|predictions/locked/episode_shortcut_controls.parquet|evidence/episode/E305_not_applicable.json,all PRETEST-eligible mean logit full mechanism and shortcut controls predict with closed hashes and required checkpoint equality; ineligible graph controls remain explicit not_applicable; empty fusion population propagates not_applicable without Slurm submission,repair predictions before release or repair the invalid not_applicable chain,not_applicable
E306,RELEASE,G5,E305,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli release-episode-test,episode prediction lock and episode seal or E305 not_applicable receipt,data/releases/episode_test_release.json|evidence/episode/E306_not_applicable.json,episode truth is released once after all prediction hashes close when fusion eligible; empty fusion population remains sealed and propagates not_applicable,invalidate affected family on hash drift or repair the invalid not_applicable chain,not_applicable
E310,EVALUATE,G5,E306,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli evaluate --package E2_E3,released episode predictions or E306 not_applicable receipt|episode truth|fusion and graph eligibility locks,results/E2_E3/metrics.parquet|results/E2_E3/shortcut_audits.json|evidence/episode/E310_not_applicable.json,full versus logit uses only fusion-eligible multibranch concept events; eligible mechanism controls bind metric_definition_hash with complete denominators and 90 percent answer-coverage diagnostics; empty fusion population and ineligible graph controls remain gate-bound not_applicable,repair evaluator without retraining or repair the invalid not_applicable chain,not_applicable
E319,EVALUATE,G5,E310,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G5,episode metrics or E310 not_applicable receipt|shortcut audits|eligibility lock,evidence/gates/G5.json,review confirms fusion wording and eligibility population; shortcut metrics stay below the locked ceiling; graph wording also requires no-graph pair-shuffle and nonzero edge trace; empty fusion population closes G5 only as accepted not_applicable and blocks C-FUSION C-MEMORY C-GRAPH,keep G5 open and repair findings,pass
E400,EFFICIENCY,G6,E319,remote_compute,gpu_sbatch,sbatch slurm/measure_efficiency.sbatch,representative checkpoint eligibility|fixed batch1 contract|amendment v4 eligible-module scope,results/C1/efficiency.parquet|results/C1/efficiency_scope.csv,amendment v4 measures only eligible completed modules and writes gate-bound not_applicable rows for unsupported visual episode and robustness candidates; no checkpoint substitution; scope has one measured or gate-bound not_applicable row for each preregistered candidate; when no candidate is eligible orchestration does not submit Slurm and writes the complete scope manifest,repair scope manifest; do not measure unsupported visual/R1/episode candidates,pass
E402,ARTIFACT_QA,G6,E319|E229,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli audit-artifacts,all released artifacts and all completed evidence gates,results/C1/artifact_qa.json,required files hashes schemas and completeness pass without performance claim; G4 cannot be bypassed,repair packaging only,pass
E409,EVALUATE,G6,E400|E402,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G6,efficiency scope timing and artifact QA,evidence/gates/G6.json,review confirms all eligible modules are measured all ineligible modules have gate-bound not_applicable reasons and artifact integrity passes,keep G6 open and repair findings,pass
E500,REPORT,G7,E409,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli aggregate-results,all gate-approved metrics,results/final/aggregate.parquet,aggregation preserves family seed group and endpoint provenance,repair aggregation,pass
E510,REPORT,G7,E500,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli run-confirmatory-stats,aggregate results|protocol,results/final/statistical_tests.json,paired intervals effect sizes multiplicity and negative results are complete,repair analysis without changing endpoints,pass
E520,REPORT,G7,E510,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli adjudicate-claims,statistics|claim evidence map,results/final/claim_status.csv,each manuscript claim is supported limited negative or removed,revise claims rather than overstate evidence,pass
E530,REPORT,G7,E520,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli update-manuscript,approved claims|real results,manuscript/|experiment documents,illustrative placeholders are replaced only by provenance-linked evidence,keep unsupported placeholders explicit,pass
E540,REPORT,G7,E530,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli review-package,manuscript|figures|tables|artifacts,evidence/reviews/final_review.json,independent review passes claim support leakage reproducibility and presentation,return to specific failed report step,pass
E549,REPORT,G7,E540,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli close-gate --gate G7,final review,evidence/gates/G7.json,all experiment evidence gates pass with no unresolved critical finding,keep G7 open,pass
E900,CLOSEOUT,CLOSEOUT,E549,remote_login,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/remote/account_wide_closeout.ps1,all remote job and sync receipts,evidence/closeout/remote_account_audit.json,account-wide jobs allocations sessions processes transfers and unsynced artifacts are audited,cancel only residual resources not needed by other user work,pass
E910,CLOSEOUT,CLOSEOUT,E900,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli finalize-closeout,all gates|remote audit,evidence/closeout/final_receipt.json,all artifacts are local and final non-billing state is verified,do not declare completion until verified,pass
